ZIP_Code,Insurance_Type,Income,Food_Access
60622,Medicaid,72997,High
60649,Uninsured,61844,High
60637,Self-Insured,20806,Low
60637,Medicaid,27813,Moderate
60659,Private,64569,High
60612,Self-Insured,63642,Moderate
60618,Medicaid,78250,High
60637,Private,67037,Moderate
60654,Medicaid,67054,Low
60634,Medicaid,78331,Low
60607,Private,40670,Low
60614,Governmental,54080,Moderate
60631,Medicaid,52123,Moderate
60612,Private,47082,Low
60657,Self-Insured,74028,Moderate
60609,Private,54636,High
60605,Private,79720,Low
60608,Self-Insured,53742,High
60628,Medicaid,60996,High
60646,Private,34561,Moderate
60654,Private,54701,High
60642,Self-Insured,27657,High
60612,Medicaid,52088,High
60616,Private,42890,Moderate
60618,Governmental,31939,Moderate
60641,Self-Insured,63642,Moderate
60605,Self-Insured,74028,Moderate
60607,Uninsured,66542,High
60609,Self-Insured,22469,Low
60656,Self-Insured,68845,High
60651,Private,32713,Moderate
60645,Private,68874,Moderate
60647,Private,44557,Moderate
60656,Medicaid,49125,Low
60657,Self-Insured,75505,Low
60630,Private,64569,High
60645,Uninsured,45425,Moderate
60640,Private,64569,High
60618,Medicaid,66007,Low
60651,Uninsured,34859,High
60644,Private,46660,Low
60644,Private,38024,High
60640,Medicaid,52123,Moderate
60633,Governmental,46123,High
60641,Private,31593,Low
60654,Medicaid,56509,High
60624,Governmental,71904,High
60636,Governmental,71904,High
60647,Private,38850,High
60601,Uninsured,70192,Moderate
60602,Medicaid,77365,Moderate
60634,Self-Insured,31303,Moderate
60639,Uninsured,76979,High
60605,Self-Insured,26183,Low
60605,Uninsured,76979,High
60644,Medicaid,74302,Low
60629,Uninsured,70106,High
60640,Self-Insured,65028,Low
60636,Medicaid,72997,High
60622,Uninsured,61844,High
60652,Self-Insured,31362,High
60621,Governmental,21828,High
60654,Uninsured,45425,Moderate
60631,Medicaid,49125,Low
60629,Uninsured,23738,High
60661,Private,22396,High
60631,Self-Insured,37764,High
60621,Medicaid,46685,Low
60610,Uninsured,31700,Low
60606,Medicaid,53062,Low
60616,Uninsured,66249,Low
60655,Medicaid,41727,Low
60631,Governmental,58001,High
60608,Medicaid,38297,High
60655,Medicaid,54801,Low
60602,Governmental,58001,High
60610,Medicaid,72997,High
60624,Medicaid,62874,Low
60651,Self-Insured,37320,Low
60615,Self-Insured,31362,High
60619,Medicaid,72997,High
60619,Private,31745,High
60628,Medicaid,53660,Moderate
60659,Self-Insured,37764,High
60639,Private,64460,High
60634,Private,45821,Moderate
60639,Self-Insured,71756,Moderate
60632,Private,34561,Moderate
60655,Medicaid,59692,High
60619,Uninsured,62520,High
60607,Medicaid,63001,High
60642,Uninsured,41754,High
60611,Medicaid,70417,Moderate
60636,Governmental,66600,High
60633,Self-Insured,25445,Moderate
60603,Medicaid,27059,Low
60616,Private,22396,High
60641,Medicaid,49125,Low
60626,Private,61873,Low
60649,Medicaid,47083,High
60642,Private,40953,Low
60617,Uninsured,70106,High
60661,Governmental,77372,Moderate
60654,Self-Insured,53933,Low
60601,Uninsured,61844,High
60631,Medicaid,63513,Low
60609,Uninsured,76464,Moderate
60661,Uninsured,34859,High
60639,Medicaid,67295,Moderate
60642,Private,21007,Low
60654,Medicaid,55196,High
60652,Governmental,58197,Low
60645,Private,40670,Low
60631,Medicaid,44578,Low
60644,Self-Insured,25445,Moderate
60645,Medicaid,63001,High
60655,Private,53339,Moderate
60651,Self-Insured,49757,Low
60610,Medicaid,63001,High
60647,Private,61898,Low
60623,Governmental,57567,Low
60604,Uninsured,33507,High
60618,Governmental,31939,Moderate
60651,Medicaid,55400,Moderate
60622,Self-Insured,35876,High
60615,Medicaid,27059,Low
60619,Self-Insured,51598,Low
60631,Medicaid,41727,Low
60612,Private,36661,Low
60634,Private,22139,Moderate
60618,Medicaid,67054,Low
60637,Private,64569,High
60634,Governmental,22353,High
60646,Governmental,60600,Moderate
60643,Self-Insured,25445,Moderate
60647,Governmental,27906,High
60638,Medicaid,28073,Moderate
60604,Private,66681,Moderate
60657,Self-Insured,50448,Moderate
60646,Self-Insured,68988,High
60654,Self-Insured,46172,Moderate
60613,Governmental,43821,Moderate
60645,Uninsured,27314,Moderate
60602,Governmental,54080,Moderate
60653,Uninsured,76464,Moderate
60601,Self-Insured,38271,Moderate
60607,Governmental,22353,High
60611,Uninsured,62520,High
60657,Self-Insured,74842,Moderate
60644,Private,41730,Moderate
60630,Uninsured,46588,High
60618,Uninsured,70192,Moderate
60617,Medicaid,62207,Moderate
60621,Self-Insured,35876,High
60620,Private,44262,Low
60641,Self-Insured,53933,Low
60656,Private,45821,Moderate
60616,Private,75619,Moderate
60607,Private,31593,Low
60607,Uninsured,79452,Moderate
60610,Self-Insured,29017,High
60638,Medicaid,49192,Moderate
60629,Self-Insured,68845,High
60607,Governmental,27906,High
60652,Private,64460,High
60632,Self-Insured,45338,High
60629,Self-Insured,67327,Low
60605,Medicaid,62207,Moderate
60629,Self-Insured,69708,High
60645,Self-Insured,21591,Moderate
60602,Uninsured,43895,Moderate
60642,Medicaid,27813,Moderate
60605,Medicaid,49125,Low
60638,Medicaid,74302,Low
60605,Self-Insured,78807,High
60636,Private,61898,Low
60661,Medicaid,44578,Low
60605,Private,22050,High
60615,Governmental,27009,Moderate
60602,Private,75554,High
60609,Self-Insured,49757,Low
60605,Uninsured,41754,High
60656,Governmental,57573,Low
60626,Uninsured,47376,Moderate
60632,Private,54636,High
60659,Private,64569,High
60636,Self-Insured,50220,Low
60649,Governmental,78261,High
60624,Self-Insured,74028,Moderate
60651,Medicaid,72997,High
60633,Self-Insured,30222,Low
60617,Governmental,66600,High
60619,Self-Insured,46172,Moderate
60656,Uninsured,69469,High
60652,Self-Insured,69976,Low
60608,Uninsured,51883,High
60606,Uninsured,34859,High
60624,Uninsured,45559,High
60624,Self-Insured,53742,High
60626,Private,61873,Low
60652,Medicaid,49192,Moderate
60603,Uninsured,30177,Low
60654,Medicaid,48841,Low
60619,Medicaid,74302,Low
60623,Self-Insured,50448,Moderate
60625,Private,54636,High
60618,Medicaid,53062,Low
60641,Uninsured,30177,Low
60638,Self-Insured,38271,Moderate
60636,Uninsured,46588,High
60643,Uninsured,33507,High
60605,Private,42890,Moderate
60618,Uninsured,51290,High
60623,Uninsured,51883,High
60660,Self-Insured,31362,High
60615,Medicaid,29155,High
60654,Medicaid,48841,Low
60654,Uninsured,69469,High
60629,Private,35934,Low
60615,Uninsured,62520,High
60636,Private,56332,Low
60638,Private,44262,Low
60651,Medicaid,52123,Moderate
60614,Uninsured,47376,Moderate
60631,Private,38024,High
60605,Medicaid,57443,Moderate
60639,Uninsured,24494,Moderate
60615,Self-Insured,74028,Moderate
60654,Governmental,27009,Moderate
60616,Private,68874,Moderate
60642,Self-Insured,51598,Low
60656,Uninsured,45425,Moderate
60617,Private,31383,Low
60636,Self-Insured,25084,Low
60605,Private,31593,Low
60643,Medicaid,49192,Moderate
60613,Private,64460,High
60630,Governmental,67182,High
60645,Self-Insured,68845,High
60657,Uninsured,41510,Low
60612,Medicaid,71535,Low
60654,Self-Insured,35876,High
60605,Governmental,57784,Low
60630,Self-Insured,45931,Moderate
60651,Governmental,54832,Low
60657,Uninsured,62520,High
60628,Governmental,54832,Low
60603,Governmental,77372,Moderate
60615,Governmental,46123,High
60659,Medicaid,70417,Moderate
60651,Private,64460,High
60638,Self-Insured,51598,Low
60660,Self-Insured,74842,Moderate
60629,Governmental,65539,Moderate
60636,Governmental,41452,High
60615,Private,69838,Low
60613,Medicaid,53660,Moderate
60647,Private,22139,Moderate
60614,Self-Insured,21591,Moderate
60601,Self-Insured,40695,Low
60631,Medicaid,52123,Moderate
60608,Self-Insured,26183,Low
60636,Private,44557,Moderate
60652,Governmental,49241,High
60632,Private,77775,Low
60633,Self-Insured,45931,Moderate
60602,Self-Insured,31303,Moderate
60634,Uninsured,27287,Moderate
60661,Private,31745,High
60660,Governmental,35585,High
60641,Self-Insured,78807,High
60660,Medicaid,46685,Low
60614,Medicaid,56509,High
60608,Uninsured,27287,Moderate
60657,Self-Insured,46172,Moderate
60621,Governmental,58197,Low
60641,Governmental,35585,High
60655,Medicaid,46572,Moderate
60652,Uninsured,77932,Moderate
60608,Self-Insured,29017,High
60642,Governmental,57567,Low
60643,Medicaid,48841,Low
60641,Uninsured,51290,High
60601,Private,67037,Moderate
60646,Private,27214,Low
60657,Self-Insured,21136,Low
60632,Medicaid,52123,Moderate
60601,Governmental,58001,High
60644,Private,25295,Low
60633,Self-Insured,25084,Low
60622,Uninsured,66249,Low
60634,Uninsured,39623,High
60649,Private,50561,Low
